movie_title,imdb_score,title_year,num_voted_users,num_critic_for_reviews,num_user_for_reviews,color,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,duration,gross,language,country,content_rating,budget,aspect_ratio
Avatar ,8,2009.0,886204,723.0,3054.0,Color,James Cameron,0.0,CCH Pounder,1000.0,Joel David Moore,936.0,Wes Studi,855.0,4834,33000,178.0,760505847.0,English,USA,PG-13,237000000.0,1.78
Pirates of the Caribbean: At World's End ,7,2007.0,471220,302.0,1238.0,Color,Gore Verbinski,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,48350,0,169.0,309404152.0,English,USA,PG-13,300000000.0,2.35
Spectre ,7,2015.0,275868,602.0,994.0,Color,Sam Mendes,0.0,Christoph Waltz,11000.0,Rory Kinnear,393.0,Stephanie Sigman,161.0,11700,85000,148.0,200074175.0,English,UK,PG-13,245000000.0,2.35
The Dark Knight Rises ,8,2012.0,1144337,813.0,2701.0,Color,Christopher Nolan,22000.0,Tom Hardy,27000.0,Christian Bale,23000.0,Joseph Gordon-Levitt,23000.0,106759,164000,164.0,448130642.0,English,USA,PG-13,250000000.0,2.35
Star Wars: Episode VII - The Force Awakens             ,7,,8,,,,Doug Walker,131.0,Doug Walker,131.0,Rob Walker,12.0,,,143,0,,,,,,,
John Carter ,7,2012.0,212204,462.0,738.0,Color,Andrew Stanton,475.0,Daryl Sabara,640.0,Samantha Morton,632.0,Polly Walker,530.0,1873,24000,132.0,73058679.0,English,USA,PG-13,263700000.0,2.35
Spider-Man 3 ,6,2007.0,383056,392.0,1902.0,Color,Sam Raimi,0.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0,46055,0,156.0,336530303.0,English,USA,PG-13,258000000.0,2.35
Tangled ,8,2010.0,294810,324.0,387.0,Color,Nathan Greno,15.0,Brad Garrett,799.0,Donna Murphy,553.0,M.C. Gainey,284.0,2036,29000,100.0,200807262.0,English,USA,PG,260000000.0,1.85
Avengers: Age of Ultron ,8,2015.0,462669,635.0,1117.0,Color,Joss Whedon,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,92000,118000,141.0,458991599.0,English,USA,PG-13,250000000.0,2.35
Harry Potter and the Half-Blood Prince ,8,2009.0,321795,375.0,973.0,Color,David Yates,282.0,Alan Rickman,25000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0,58753,10000,153.0,301956980.0,English,UK,PG,250000000.0,2.35
Batman v Superman: Dawn of Justice ,7,2016.0,371639,673.0,3018.0,Color,Zack Snyder,0.0,Henry Cavill,15000.0,Lauren Cohan,4000.0,Alan D. Purwin,2000.0,24450,197000,183.0,330249062.0,English,USA,PG-13,250000000.0,2.35
Superman Returns ,6,2006.0,240396,434.0,2367.0,Color,Bryan Singer,0.0,Kevin Spacey,18000.0,Marlon Brando,10000.0,Frank Langella,903.0,29991,0,169.0,200069408.0,English,USA,PG-13,209000000.0,2.35
Quantum of Solace ,7,2008.0,330784,403.0,1243.0,Color,Marc Forster,395.0,Giancarlo Giannini,451.0,Mathieu Amalric,412.0,Rory Kinnear,393.0,2023,0,106.0,168368427.0,English,UK,PG-13,200000000.0,2.35
Pirates of the Caribbean: Dead Man's Chest ,7,2006.0,522040,313.0,1832.0,Color,Gore Verbinski,563.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0,48486,5000,151.0,423032628.0,English,USA,PG-13,225000000.0,2.35
The Lone Ranger ,6,2013.0,181792,450.0,711.0,Color,Gore Verbinski,563.0,Johnny Depp,40000.0,Ruth Wilson,2000.0,Tom Wilkinson,1000.0,45757,48000,150.0,89289910.0,English,USA,PG-13,215000000.0,2.35
Man of Steel ,7,2013.0,548573,733.0,2536.0,Color,Zack Snyder,0.0,Henry Cavill,15000.0,Christopher Meloni,3000.0,Harry Lennix,748.0,20495,118000,143.0,291021565.0,English,USA,PG-13,225000000.0,2.35
The Chronicles of Narnia: Prince Caspian ,7,2008.0,149922,258.0,438.0,Color,Andrew Adamson,80.0,Peter Dinklage,22000.0,Pierfrancesco Favino,216.0,Damián Alcázar,201.0,22697,0,150.0,141614023.0,English,USA,PG,225000000.0,2.35
The Avengers ,8,2012.0,995415,703.0,1722.0,Color,Joss Whedon,0.0,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,87697,123000,173.0,623279547.0,English,USA,PG-13,220000000.0,1.85
Pirates of the Caribbean: On Stranger Tides ,7,2011.0,370704,448.0,484.0,Color,Rob Marshall,252.0,Johnny Depp,40000.0,Sam Claflin,11000.0,Stephen Graham,1000.0,54083,58000,136.0,241063875.0,English,USA,PG-13,250000000.0,2.35
Men in Black 3 ,7,2012.0,268154,451.0,341.0,Color,Barry Sonnenfeld,188.0,Will Smith,10000.0,Michael Stuhlbarg,816.0,Nicole Scherzinger,718.0,12572,40000,106.0,179020854.0,English,USA,PG-13,225000000.0,1.85
The Hobbit: The Battle of the Five Armies ,8,2014.0,354228,422.0,802.0,Color,Peter Jackson,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,9152,65000,164.0,255108370.0,English,New Zealand,PG-13,250000000.0,2.35
The Amazing Spider-Man ,7,2012.0,451803,599.0,1225.0,Color,Marc Webb,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,Chris Zylka,963.0,28489,56000,153.0,262030663.0,English,USA,PG-13,230000000.0,2.35
Robin Hood ,7,2010.0,211765,343.0,546.0,Color,Ridley Scott,0.0,Mark Addy,891.0,William Hurt,882.0,Scott Grimes,738.0,3244,17000,156.0,105219735.0,English,USA,PG-13,200000000.0,2.35
The Hobbit: The Desolation of Smaug ,8,2013.0,483540,509.0,951.0,Color,Peter Jackson,0.0,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0,9152,83000,186.0,258355354.0,English,USA,PG-13,225000000.0,2.35
The Golden Compass ,6,2007.0,149019,251.0,666.0,Color,Chris Weitz,129.0,Christopher Lee,16000.0,Eva Green,6000.0,Kristin Scott Thomas,1000.0,24106,0,113.0,70083519.0,English,USA,PG-13,180000000.0,2.35
King Kong ,7,2005.0,316018,446.0,2618.0,Color,Peter Jackson,0.0,Naomi Watts,6000.0,Thomas Kretschmann,919.0,Evan Parke,84.0,7123,0,201.0,218051260.0,English,New Zealand,PG-13,207000000.0,2.35
Titanic ,8,1997.0,793059,315.0,2528.0,Color,James Cameron,0.0,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Gloria Stuart,794.0,45223,26000,194.0,658672302.0,English,USA,PG-13,200000000.0,2.35
Captain America: Civil War ,8,2016.0,272670,516.0,1022.0,Color,Anthony Russo,94.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Chris Evans,11000.0,64798,72000,147.0,407197282.0,English,USA,PG-13,250000000.0,2.35
Battleship ,6,2012.0,202382,377.0,751.0,Color,Peter Berg,532.0,Liam Neeson,14000.0,Alexander Skarsgård,10000.0,Tadanobu Asano,627.0,26679,44000,131.0,65173160.0,English,USA,PG-13,209000000.0,2.35
Jurassic World ,7,2015.0,418214,644.0,1290.0,Color,Colin Trevorrow,365.0,Bryce Dallas Howard,3000.0,Judy Greer,2000.0,Omar Sy,1000.0,8458,150000,124.0,652177271.0,English,USA,PG-13,150000000.0,2.0
Skyfall ,8,2012.0,522030,750.0,1498.0,Color,Sam Mendes,0.0,Albert Finney,883.0,Helen McCrory,563.0,Rory Kinnear,393.0,2039,80000,143.0,304360277.0,English,UK,PG-13,200000000.0,2.35
Spider-Man 2 ,7,2004.0,411164,300.0,1303.0,Color,Sam Raimi,0.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0,43388,0,135.0,373377893.0,English,USA,PG-13,200000000.0,2.35
Iron Man 3 ,7,2013.0,557489,608.0,1187.0,Color,Shane Black,1000.0,Robert Downey Jr.,21000.0,Jon Favreau,4000.0,Don Cheadle,3000.0,30426,95000,195.0,408992272.0,English,USA,PG-13,200000000.0,2.35
Alice in Wonderland ,6,2010.0,306320,451.0,736.0,Color,Tim Burton,13000.0,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0,79957,24000,108.0,334185206.0,English,USA,PG,200000000.0,1.85
X-Men: The Last Stand ,7,2006.0,383427,334.0,1912.0,Color,Brett Ratner,420.0,Hugh Jackman,20000.0,Kelsey Grammer,808.0,Daniel Cudmore,560.0,21714,0,104.0,234360014.0,English,Canada,PG-13,210000000.0,2.35
Monsters University ,7,2013.0,235025,376.0,265.0,Color,Dan Scanlon,37.0,Steve Buscemi,12000.0,Tyler Labine,779.0,Sean Hayes,760.0,14863,44000,104.0,268488329.0,English,USA,G,200000000.0,1.85
Transformers: Revenge of the Fallen ,6,2009.0,323207,366.0,1439.0,Color,Michael Bay,0.0,Glenn Morshower,894.0,Kevin Dunn,581.0,Ramon Rodriguez,464.0,3218,0,150.0,402076689.0,English,USA,PG-13,200000000.0,2.35
Transformers: Age of Extinction ,6,2014.0,242420,378.0,918.0,Color,Michael Bay,0.0,Bingbing Li,974.0,Sophia Myles,956.0,Kelsey Grammer,808.0,3988,56000,165.0,245428137.0,English,USA,PG-13,210000000.0,2.35
Oz the Great and Powerful ,6,2013.0,175409,525.0,511.0,Color,Sam Raimi,0.0,Tim Holmes,44000.0,Mila Kunis,15000.0,James Franco,11000.0,73441,60000,130.0,234903076.0,English,USA,PG,215000000.0,2.35
The Amazing Spider-Man 2 ,7,2014.0,321227,495.0,1067.0,Color,Marc Webb,464.0,Emma Stone,15000.0,Andrew Garfield,10000.0,B.J. Novak,825.0,28631,41000,142.0,202853933.0,English,USA,PG-13,200000000.0,2.35
TRON: Legacy ,7,2010.0,264183,469.0,665.0,Color,Joseph Kosinski,364.0,Jeff Bridges,12000.0,Olivia Wilde,10000.0,James Frain,1000.0,25550,30000,125.0,172051787.0,English,USA,PG,170000000.0,2.35
Cars 2 ,6,2011.0,101178,304.0,283.0,Color,John Lasseter,487.0,Joe Mantegna,1000.0,Thomas Kretschmann,919.0,Eddie Izzard,776.0,4482,10000,106.0,191450875.0,English,USA,G,200000000.0,2.35
Green Lantern ,6,2011.0,223393,436.0,550.0,Color,Martin Campbell,258.0,Ryan Reynolds,16000.0,Temuera Morrison,368.0,Taika Waititi,326.0,17657,24000,123.0,116593191.0,English,USA,PG-13,200000000.0,2.35
Toy Story 3 ,8,2010.0,544884,453.0,733.0,Color,Lee Unkrich,125.0,Tom Hanks,15000.0,John Ratzenberger,1000.0,Don Rickles,721.0,19085,30000,103.0,414984497.0,English,USA,G,200000000.0,1.85
Terminator Salvation ,7,2009.0,286095,422.0,974.0,Color,McG,368.0,Christian Bale,23000.0,Bryce Dallas Howard,3000.0,Common,988.0,27468,0,118.0,125320003.0,English,USA,PG-13,200000000.0,2.35
Furious 7 ,7,2015.0,278232,424.0,657.0,Color,James Wan,0.0,Jason Statham,26000.0,Paul Walker,23000.0,Vin Diesel,14000.0,79150,94000,140.0,350034110.0,English,USA,PG-13,190000000.0,2.35
World War Z ,7,2013.0,465019,654.0,995.0,Color,Marc Forster,395.0,Peter Capaldi,17000.0,Brad Pitt,11000.0,Mireille Enos,1000.0,32392,129000,123.0,202351611.0,English,USA,PG-13,190000000.0,2.35
X-Men: Days of Future Past ,8,2014.0,514125,539.0,752.0,Color,Bryan Singer,0.0,Jennifer Lawrence,34000.0,Peter Dinklage,22000.0,Hugh Jackman,20000.0,91434,82000,149.0,233914986.0,English,USA,PG-13,200000000.0,2.35
Star Trek Into Darkness ,8,2013.0,395573,590.0,1171.0,Color,J.J. Abrams,14000.0,Benedict Cumberbatch,19000.0,Bruce Greenwood,981.0,Noel Clarke,928.0,21411,92000,132.0,228756232.0,English,USA,PG-13,190000000.0,2.35
Jack the Giant Slayer ,6,2013.0,106416,338.0,205.0,Color,Bryan Singer,0.0,Eddie Marsan,979.0,Ewen Bremner,557.0,Ralph Brown,140.0,1766,22000,114.0,65171860.0,English,USA,PG-13,195000000.0,2.35
The Great Gatsby ,7,2013.0,362912,490.0,753.0,Color,Baz Luhrmann,1000.0,Leonardo DiCaprio,29000.0,Elizabeth Debicki,509.0,Steve Bisley,77.0,29770,115000,143.0,144812796.0,English,Australia,PG-13,105000000.0,2.35
Prince of Persia: The Sands of Time ,7,2010.0,222403,306.0,453.0,Color,Mike Newell,179.0,Jake Gyllenhaal,15000.0,Richard Coyle,567.0,Reece Ritchie,236.0,16149,23000,116.0,90755643.0,English,USA,PG-13,200000000.0,2.35
Pacific Rim ,7,2013.0,381148,575.0,1106.0,Color,Guillermo del Toro,0.0,Charlie Hunnam,16000.0,Clifton Collins Jr.,968.0,Larry Joe Campbell,919.0,19166,83000,131.0,101785482.0,English,USA,PG-13,190000000.0,1.85
Transformers: Dark of the Moon ,6,2011.0,326180,428.0,899.0,Color,Michael Bay,0.0,Glenn Morshower,894.0,Lester Speight,829.0,Kevin Dunn,581.0,2593,46000,154.0,352358779.0,English,USA,PG-13,195000000.0,2.35
Indiana Jones and the Kingdom of the Crystal Skull ,6,2008.0,333847,470.0,2054.0,Color,Steven Spielberg,14000.0,Harrison Ford,11000.0,Ray Winstone,1000.0,Jim Broadbent,1000.0,14959,5000,122.0,317011114.0,English,USA,PG-13,185000000.0,2.35
The Good Dinosaur ,7,2015.0,62836,298.0,345.0,Color,Peter Sohn,113.0,A.J. Buckley,275.0,Jack McGraw,150.0,Peter Sohn,113.0,696,20000,93.0,123070338.0,English,USA,PG,,2.35
Brave ,7,2012.0,273556,488.0,428.0,Color,Mark Andrews,56.0,Kelly Macdonald,2000.0,John Ratzenberger,1000.0,Julie Walters,838.0,5005,39000,93.0,237282182.0,English,USA,PG,185000000.0,2.35
Star Trek Beyond ,8,2016.0,53607,322.0,432.0,Color,Justin Lin,681.0,Sofia Boutella,998.0,Melissa Roxburgh,119.0,Lydia Wilson,105.0,1327,30000,122.0,130468626.0,English,USA,PG-13,185000000.0,2.35
WALL·E ,8,2008.0,718837,421.0,1043.0,Color,Andrew Stanton,475.0,John Ratzenberger,1000.0,Fred Willard,729.0,Jeff Garlin,522.0,2975,16000,98.0,223806889.0,English,USA,G,180000000.0,2.35
Rush Hour 3 ,6,2007.0,121084,162.0,221.0,Color,Brett Ratner,420.0,Tzi Ma,268.0,Dana Ivey,268.0,Noémie Lenoir,173.0,1125,0,91.0,140080850.0,English,USA,PG-13,140000000.0,2.35
2012 ,6,2009.0,283418,367.0,1055.0,Color,Roland Emmerich,776.0,Oliver Platt,1000.0,Liam James,468.0,Tom McCarthy,310.0,2144,13000,158.0,166112167.0,English,USA,PG-13,200000000.0,2.35
A Christmas Carol ,7,2009.0,72809,240.0,249.0,Color,Robert Zemeckis,0.0,Robin Wright,18000.0,Colin Firth,14000.0,Gary Oldman,10000.0,48878,0,96.0,137850096.0,English,USA,PG,200000000.0,2.35
Jupiter Ascending ,5,2015.0,139593,384.0,720.0,Color,Lana Wachowski,0.0,Channing Tatum,17000.0,Mila Kunis,15000.0,Eddie Redmayne,13000.0,47334,44000,127.0,47375327.0,English,USA,PG-13,176000000.0,2.35
The Legend of Tarzan ,7,2016.0,42372,248.0,239.0,Color,David Yates,282.0,Christoph Waltz,11000.0,Alexander Skarsgård,10000.0,Casper Crump,103.0,21175,29000,110.0,124051759.0,English,USA,PG-13,180000000.0,2.35
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",7,2005.0,286506,284.0,1463.0,Color,Andrew Adamson,80.0,Jim Broadbent,1000.0,Kiran Shah,190.0,Shane Rangi,82.0,1317,0,150.0,291709845.0,English,USA,PG,180000000.0,2.35
X-Men: Apocalypse ,7,2016.0,148379,396.0,622.0,Color,Bryan Singer,0.0,Jennifer Lawrence,34000.0,Michael Fassbender,13000.0,Tye Sheridan,1000.0,49684,54000,144.0,154985087.0,English,USA,PG-13,178000000.0,2.35
The Dark Knight ,9,2008.0,1676169,645.0,4667.0,Color,Christopher Nolan,22000.0,Christian Bale,23000.0,Heath Ledger,13000.0,Morgan Freeman,11000.0,57802,37000,152.0,533316061.0,English,USA,PG-13,185000000.0,2.35
Up ,8,2009.0,665575,408.0,704.0,Color,Pete Docter,0.0,John Ratzenberger,1000.0,Delroy Lindo,848.0,Jess Harnell,262.0,2635,27000,96.0,292979556.0,English,USA,PG,175000000.0,1.85
Monsters vs. Aliens ,6,2009.0,114553,219.0,187.0,Color,Rob Letterman,11.0,Amy Poehler,1000.0,Rainn Wilson,973.0,Stephen Colbert,459.0,2579,0,94.0,198332128.0,English,USA,PG,175000000.0,2.35
Iron Man ,8,2008.0,696338,486.0,1055.0,Color,Jon Favreau,4000.0,Robert Downey Jr.,21000.0,Jeff Bridges,12000.0,Jon Favreau,4000.0,39252,10000,126.0,318298180.0,English,USA,PG-13,140000000.0,2.35
Hugo ,8,2011.0,245333,682.0,678.0,Color,Martin Scorsese,17000.0,Chloë Grace Moretz,17000.0,Christopher Lee,16000.0,Ray Winstone,1000.0,36017,42000,126.0,73820094.0,English,USA,PG,170000000.0,1.85
Wild Wild West ,5,1999.0,129601,85.0,648.0,Color,Barry Sonnenfeld,188.0,Will Smith,10000.0,Salma Hayek,4000.0,Bai Ling,582.0,15870,0,106.0,113745408.0,English,USA,PG-13,170000000.0,1.85
The Mummy: Tomb of the Dragon Emperor ,5,2008.0,117927,264.0,501.0,Color,Rob Cohen,357.0,Jet Li,5000.0,Brendan Fraser,3000.0,Russell Wong,595.0,9131,0,112.0,102176165.0,English,USA,PG-13,145000000.0,2.35
Suicide Squad ,7,2016.0,118992,418.0,971.0,Color,David Ayer,452.0,Will Smith,10000.0,Robin Atkin Downes,336.0,Ike Barinholtz,329.0,11287,80000,123.0,161087183.0,English,USA,PG-13,175000000.0,2.35
Evan Almighty ,5,2007.0,115099,186.0,257.0,Color,Tom Shadyac,293.0,Jimmy Bennett,87000.0,Morgan Freeman,11000.0,Steve Carell,7000.0,108016,2000,96.0,100289690.0,English,USA,PG,175000000.0,2.35
Edge of Tomorrow ,8,2014.0,431620,585.0,741.0,Color,Doug Liman,218.0,Tom Cruise,10000.0,Lara Pulver,854.0,Noah Taylor,509.0,12652,77000,113.0,100189501.0,English,USA,PG-13,178000000.0,2.35
Waterworld ,6,1995.0,144337,91.0,309.0,Color,Kevin Reynolds,58.0,Jeanne Tripplehorn,711.0,Rick Aviles,60.0,Zakes Mokae,60.0,1004,0,176.0,88246220.0,English,USA,PG-13,175000000.0,1.85
G.I. Joe: The Rise of Cobra ,6,2009.0,174578,250.0,534.0,Color,Stephen Sommers,208.0,Joseph Gordon-Levitt,23000.0,Dennis Quaid,2000.0,Leo Howard,570.0,26683,0,118.0,150167630.0,English,USA,PG-13,175000000.0,2.35
Inside Out ,8,2015.0,345198,536.0,773.0,Color,Pete Docter,0.0,Amy Poehler,1000.0,Mindy Kaling,767.0,Phyllis Smith,384.0,2944,118000,95.0,356454367.0,English,USA,PG,175000000.0,1.85
The Jungle Book ,8,2016.0,106072,370.0,398.0,Color,Jon Favreau,4000.0,Scarlett Johansson,19000.0,Bill Murray,13000.0,Garry Shandling,591.0,32921,65000,106.0,362645141.0,English,UK,PG,175000000.0,1.85
Iron Man 2 ,7,2010.0,522371,453.0,723.0,Color,Jon Favreau,4000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Jon Favreau,4000.0,48638,18000,124.0,312057433.0,English,USA,PG-13,200000000.0,2.35
Snow White and the Huntsman ,6,2012.0,228554,416.0,710.0,Color,Rupert Sanders,274.0,Chris Hemsworth,26000.0,Kristen Stewart,17000.0,Sam Claflin,11000.0,72881,53000,132.0,155111815.0,English,USA,PG-13,170000000.0,2.35
